S0,S1,S2,S3,Y
2818,2773,2173,1453,0
2816,2768,2163,1451,0
2805,2756,2154,1445,0
2804,2737,2148,1444,0
2797,2737,2144,1437,0
2801,2732,2140,1434,0
2799,2730,2139,1430,0
2800,2723,2138,1430,0
2792,2721,2128,1426,0
2775,2683,2104,1425,0
2905,2955,2288,1409,0
2927,3015,2323,1524,0
2921,3000,2312,1555,0
2758,2649,2085,1541,0
2664,2458,1953,1401,0
2674,2479,1973,1316,0
2662,2446,1948,1325,0
2663,2456,1956,1311,0
2670,2461,1953,1318,0
2669,2463,1951,1318,0
2672,2456,1951,1320,0
2662,2457,1950,1319,0
2665,2453,1952,1313,0
2664,2454,1950,1316,0
2663,2453,1949,1324,0
2665,2449,1948,1314,0
2660,2448,1944,1314,0
2662,2447,1947,1312,0
2661,2449,1952,1310,0
2659,2446,1949,1316,0
2667,2449,1948,1311,0
2663,2449,1947,1312,0
2660,2447,1948,1315,0
2659,2441,1942,1315,0
2658,2445,1947,1316,0
2660,2437,1949,1308,0
2654,2441,1941,1310,0
2656,2443,1937,1303,0
2655,2435,1940,1312,0
2656,2440,1940,1307,0
2650,2427,1938,1309,0
2770,2674,2094,1306,0
2810,2764,2153,1405,0
2768,2685,2108,1442,0
2771,2677,2095,1410,0
2771,2680,2105,1405,0
2770,2675,2103,1405,0
2764,2670,2094,1410,0
2764,2668,2095,1404,0
2748,2638,2083,1407,0
2749,2634,2077,1393,0
2747,2629,2074,1388,0
2744,2626,2074,1390,0
2744,2633,2068,1393,0
2749,2628,2069,1388,0
2744,2627,2074,1393,0
2741,2623,2070,1392,0
2744,2620,2066,1379,0
2742,2616,2060,1384,0
2744,2618,2064,1389,0
2740,2616,2061,1388,0
2749,2617,2065,1384,0
2741,2616,2065,1387,0
2743,2614,2068,1385,0
2744,2610,2059,1381,0
2744,2612,2061,1388,0
2736,2602,2056,1382,0
2743,2605,2060,1380,0
2736,2602,2055,1382,0
2734,2600,2060,1379,0
2731,2599,2054,1378,0
2731,2596,2054,1376,0
2738,2602,2052,1380,0
2732,2597,2056,1371,0
2733,2597,2051,1379,0
2735,2595,2049,1376,0
2732,2596,2050,1377,0
