S0,S1,S2,S3,Y
241512,125158,327660,32545,0
241562,125139,327660,32552,0
241422,125171,327660,32555,0
241573,125121,327660,32533,0
241293,125217,327660,32553,0
241284,125088,327660,32531,0
241364,125067,327660,32514,0
241321,125122,327660,32539,0
241252,125087,327660,32522,0
241300,125047,327660,32517,0
241292,125080,327660,32521,0
241298,125097,327660,32523,0
241262,125094,327660,32527,0
241233,125073,327660,32521,0
241287,125072,327660,32521,0
241213,125083,327660,32530,0
241261,125074,327660,32513,0
241235,125076,327660,32535,0
241237,125064,327660,32518,0
241091,125069,327660,32517,0
242296,124992,327660,32492,0
240893,125519,327660,32654,0
241574,124913,327660,32474,0
241007,125210,327660,32570,0
241339,124982,327660,32471,0
241151,125130,327660,32533,0
241299,125042,327660,32517,0
241184,125087,327660,32526,0
241276,125066,327660,32505,0
241229,125101,327660,32521,0
241294,125077,327660,32518,0
241205,125115,327660,32529,0
241301,125070,327660,32504,0
241242,125102,327660,32539,0
241234,125110,327660,32529,0
241211,125071,327660,32512,0
241243,125088,327660,32533,0
241256,125071,327660,32514,0
241233,125106,327660,32518,0
241223,125083,327660,32517,0
241297,125074,327660,32511,0
241215,125100,327660,32528,0
241255,125084,327660,32515,0
241228,125103,327660,32524,0
241234,125084,327660,32516,0
241253,125094,327660,32520,0
241281,125088,327660,32514,0
241290,125098,327660,32523,0
241189,125130,327660,32536,0
241340,125058,327660,32515,0
240966,125137,327660,32528,0
240651,124939,327660,32483,0
242201,124815,327660,32441,0
241696,125453,327660,32643,0
241545,125221,327660,32572,0
241447,125207,327660,32565,0
241507,125169,327660,32540,0
241422,125181,327660,32549,0
241502,125159,327660,32548,0
241540,125183,327660,32543,0
241423,125198,327660,32574,0
241828,125145,327660,32544,0
241507,125341,327660,32602,0
241280,125178,327660,32548,0
241541,125050,327660,32521,0
241646,125206,327660,32555,0
241710,125237,327660,32570,0
241591,125287,327660,32584,0
241411,125208,327660,32563,0
241436,125139,327660,32542,0
241569,125166,327660,32546,0
241522,125214,327660,32566,0
241538,125198,327660,32564,0
241531,125222,327660,32562,0
241552,125213,327660,32578,0
241524,125232,327660,32560,0
241531,125193,327660,32551,0
241544,125205,327660,32564,0
241534,125194,327660,32562,0
241541,125199,327660,32555,0
241553,125214,327660,32566,0
241564,125222,327660,32561,0
241501,125225,327660,32560,0
241533,125191,327660,32555,0
241532,125226,327660,32555,0
241573,125215,327660,32557,0
241484,125219,327660,32561,0
241525,125186,327660,32554,0
241507,125201,327660,32560,0
241535,125193,327660,32556,0
241558,125214,327660,32569,0
241517,125224,327660,32567,0
241780,125186,327660,32548,0
241090,125320,327660,32598,0
241584,125031,327660,32511,0
241248,125230,327660,32562,0
241505,125084,327660,32521,0
241515,125204,327660,32566,0
241568,125202,327660,32555,0
241558,125238,327660,32575,0
241519,125229,327660,32570,0
241369,125214,327660,32557,0
242368,125136,327660,32542,0
241181,125583,327660,32664,0
241486,125074,327660,32514,0
241447,125203,327660,32566,0
241537,125174,327660,32543,0
241585,125210,327660,32566,0
241548,125243,327660,32557,0
241602,125229,327660,32561,0
241569,125247,327660,32574,0
241540,125219,327660,32578,0
241537,125220,327660,32567,0
241573,125217,327660,32572,0
241563,125218,327660,32569,0
241543,125234,327660,32563,0
241133,125241,327660,32557,0
241537,125023,327660,32500,0
241570,125224,327660,32563,0
241979,125228,327660,32563,0
241463,125413,327660,32616,0
241558,125175,327660,32549,0
241522,125234,327660,32570,0
241548,125208,327660,32571,0
241562,125234,327660,32570,0
241541,125236,327660,32563,0
241563,125225,327660,32575,0
241558,125240,327660,32570,0
241549,125248,327660,32569,0
241559,125234,327660,32556,0
241613,125236,327660,32568,0
241544,125254,327660,32589,0
241553,125231,327660,32568,0
241557,125236,327660,32567,0
241545,125247,327660,32574,0
241570,125241,327660,32563,0
241592,125252,327660,32579,0
241596,125248,327660,32579,0
241625,125264,327660,32587,0
241645,125264,327660,32582,0
241621,125287,327660,32573,0
241576,125260,327660,32575,0
241609,125248,327660,32563,0
241643,125260,327660,32578,0
241515,125274,327660,32578,0
241613,125230,327660,32559,0
241594,125277,327660,32575,0
241539,125241,327660,32573,0
241602,125234,327660,32572,0
241544,125261,327660,32587,0
241574,125247,327660,32569,0
241611,125251,327660,32559,0
241563,125278,327660,32576,0
241528,125248,327660,32565,0
241593,125246,327660,32567,0
241682,125262,327660,32582,0
241569,125296,327660,32592,0
241540,125255,327660,32559,0
241562,125237,327660,32556,0
241912,125241,327660,32579,0
241129,125417,327660,32619,0
241342,125089,327660,32523,0
241473,125163,327660,32555,0
241365,125248,327660,32553,0
241391,125196,327660,32539,0
241336,125196,327660,32554,0
241433,125167,327660,32533,0
241357,125213,327660,32553,0
241390,125192,327660,32543,0
241395,125214,327660,32559,0
241373,125207,327660,32557,0
241395,125194,327660,32542,0
241397,125210,327660,32553,0
241472,125229,327660,32540,0
241663,125234,327660,32552,0
241224,125328,327660,32593,0
241486,125133,327660,32524,0
241317,125250,327660,32566,0
241448,125185,327660,32543,0
241385,125243,327660,32562,0
241373,125208,327660,32551,0
241402,125196,327660,32537,0
241316,125202,327660,32559,0
241121,125159,327660,32543,0
241418,125096,327660,32505,0
241638,125208,327660,32550,0
241403,125323,327660,32576,0
241326,125225,327660,32543,0
240679,125177,327660,32538,0
241572,124878,327660,32452,0
241409,125275,327660,32573,0
241528,125208,327660,32556,0
241515,125255,327660,32557,0
241538,125246,327660,32572,0
241551,125269,327660,32561,0
241454,125272,327660,32568,0
241551,125215,327660,32560,0
241519,125261,327660,32575,0
241459,125233,327660,32564,0
241524,125222,327660,32561,0
241490,125258,327660,32574,0
