S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S1-value2,S1-value3,S1-value4,Y
32507.0,40981.0,24539.0,6104.0,24587.0,21509.0,48232.0,73768.0,49479.0,0
32337.0,40981.0,24622.0,6042.0,24585.0,21544.0,48242.0,73760.0,49482.0,0
32419.0,40986.0,24584.0,6053.0,24589.0,21537.0,48847.0,73767.0,49175.0,0
32685.0,40985.0,24450.0,6177.0,24585.0,21474.0,49841.0,73761.0,48673.0,0
33456.0,40984.0,24062.0,6265.0,24588.0,21431.0,49427.0,73766.0,48883.0,0
32954.0,40979.0,24313.0,6110.0,24586.0,21508.0,49247.0,73767.0,48968.0,0
33001.0,40984.0,24288.0,6060.0,24588.0,21532.0,49150.0,73765.0,49019.0,0
32911.0,40983.0,24336.0,6051.0,24585.0,21536.0,48941.0,73764.0,49129.0,0
32786.0,40982.0,24400.0,5974.0,24585.0,21578.0,49008.0,73769.0,49092.0,0
32698.0,40982.0,24443.0,5977.0,24584.0,21575.0,49002.0,73766.0,49097.0,0
32791.0,40983.0,24397.0,6035.0,24587.0,21547.0,48832.0,73760.0,49179.0,0
32747.0,40979.0,24415.0,5994.0,24586.0,21569.0,48794.0,73764.0,49194.0,0
32697.0,40983.0,24444.0,5965.0,24586.0,21582.0,49044.0,73770.0,49071.0,0
32628.0,40985.0,24480.0,6026.0,24585.0,21550.0,49092.0,73765.0,49051.0,0
32794.0,40984.0,24394.0,6000.0,24585.0,21564.0,48455.0,73769.0,49371.0,0
32774.0,40985.0,24405.0,6001.0,24588.0,21563.0,48053.0,73762.0,49569.0,0
32306.0,40982.0,24642.0,5936.0,24587.0,21597.0,48049.0,73763.0,49570.0,0
32133.0,40982.0,24731.0,5869.0,24587.0,21628.0,48270.0,73763.0,49466.0,0
30908.0,40981.0,25343.0,5854.0,24587.0,21640.0,48237.0,73762.0,49482.0,0
31019.0,40982.0,25291.0,5831.0,24585.0,21648.0,48187.0,73765.0,49507.0,0
30993.0,40985.0,25306.0,8471.0,24584.0,20327.0,47929.0,73761.0,49632.0,0
30998.0,40984.0,25299.0,8480.0,24584.0,20323.0,47846.0,73765.0,49676.0,0
30964.0,40987.0,25319.0,8465.0,24586.0,20328.0,47624.0,73761.0,49790.0,0
30759.0,40979.0,25420.0,8507.0,24588.0,20309.0,47557.0,73766.0,49823.0,0
30783.0,40981.0,25410.0,8476.0,24586.0,20325.0,47645.0,73765.0,49779.0,0
30582.0,40981.0,25508.0,8396.0,24588.0,20366.0,47717.0,73769.0,49739.0,0
30612.0,40983.0,25497.0,8365.0,24589.0,20380.0,47467.0,73763.0,49870.0,0
30537.0,40981.0,25533.0,8336.0,24586.0,20394.0,47397.0,73760.0,49901.0,0
30626.0,40979.0,25489.0,8312.0,24586.0,20409.0,47553.0,73767.0,49825.0,0
30644.0,40984.0,25478.0,8297.0,24588.0,20414.0,47674.0,73761.0,49763.0,0
30496.0,40979.0,25555.0,8351.0,24586.0,20388.0,47401.0,73766.0,49899.0,0
30446.0,40981.0,25576.0,8355.0,24586.0,20386.0,47532.0,73763.0,49832.0,0
30554.0,40981.0,25525.0,8315.0,24588.0,20405.0,47320.0,73765.0,49942.0,0
30632.0,40980.0,25484.0,8295.0,24586.0,20414.0,47420.0,73764.0,49890.0,0
30426.0,40980.0,25589.0,8356.0,24586.0,20384.0,47154.0,73765.0,50024.0,0
30530.0,40985.0,25537.0,8376.0,24587.0,20375.0,44475.0,40984.0,18516.0,0
30386.0,40982.0,25608.0,8399.0,24588.0,20363.0,45805.0,40983.0,17939.0,0
30475.0,40982.0,25564.0,8314.0,24589.0,20405.0,45639.0,40981.0,18023.0,0
30255.0,40980.0,25676.0,8371.0,24587.0,20377.0,45667.0,40984.0,18009.0,0
50030.0,40986.0,15754.0,8378.0,24588.0,20374.0,45734.0,40983.0,17972.0,0
49817.0,40986.0,15877.0,8301.0,24587.0,20411.0,45512.0,40983.0,18087.0,0
49681.0,40983.0,15943.0,8358.0,24587.0,20381.0,45219.0,40983.0,18231.0,0
49709.0,40986.0,15926.0,8332.0,24590.0,20400.0,45057.0,40984.0,18312.0,0
49800.0,40987.0,15885.0,8216.0,24585.0,20454.0,45038.0,40985.0,18323.0,0
49582.0,40984.0,15989.0,14708.0,40980.0,33599.0,45007.0,40984.0,18337.0,0
49331.0,40985.0,16111.0,14530.0,40980.0,33672.0,44909.0,40982.0,18390.0,0
49209.0,40986.0,16171.0,14408.0,40980.0,33734.0,44804.0,40980.0,18440.0,0
49186.0,40987.0,16181.0,14432.0,40980.0,33721.0,44812.0,40983.0,18437.0,0
49161.0,40982.0,16193.0,14365.0,40978.0,33754.0,44685.0,40984.0,18500.0,0
49075.0,40987.0,16233.0,14280.0,40979.0,33798.0,44514.0,40982.0,18587.0,0
48981.0,40984.0,16281.0,14084.0,40980.0,33894.0,44467.0,40984.0,18609.0,0
48992.0,40984.0,16275.0,13903.0,40978.0,33986.0,44394.0,40984.0,18645.0,0
48889.0,40982.0,16326.0,13881.0,40979.0,33998.0,44242.0,40983.0,18721.0,0
48754.0,40982.0,16392.0,13850.0,40980.0,34013.0,44337.0,40983.0,18674.0,0
48711.0,40984.0,16411.0,13738.0,40979.0,34069.0,44166.0,40980.0,18761.0,0
48647.0,40982.0,16443.0,13662.0,40977.0,34107.0,44138.0,40978.0,18774.0,0
48519.0,40984.0,16509.0,13666.0,40978.0,34104.0,44111.0,40984.0,18785.0,0
48565.0,40986.0,16486.0,13563.0,40979.0,34159.0,44058.0,40984.0,18814.0,0
48441.0,40984.0,16543.0,13417.0,40975.0,34228.0,44051.0,40983.0,18818.0,0
48435.0,40984.0,16548.0,13380.0,40979.0,34247.0,43787.0,40983.0,18950.0,0
48434.0,40984.0,16549.0,13355.0,40978.0,34262.0,43652.0,40985.0,19018.0,0
48393.0,40983.0,16569.0,13248.0,40976.0,34315.0,40128.0,73765.0,53556.0,0
48411.0,40983.0,16561.0,13409.0,40978.0,34234.0,40499.0,73766.0,53372.0,0
48218.0,40985.0,16655.0,13221.0,40979.0,34330.0,40382.0,73766.0,53430.0,0
48098.0,40985.0,16715.0,13165.0,40977.0,34353.0,40579.0,73764.0,53331.0,0
23221.0,40979.0,29220.0,13106.0,40977.0,34387.0,40700.0,73765.0,53270.0,0
23447.0,40982.0,29116.0,13064.0,40980.0,34403.0,40812.0,73760.0,53212.0,0
23436.0,40980.0,29120.0,13000.0,40976.0,34438.0,40920.0,73768.0,53157.0,0
23386.0,40979.0,29144.0,12755.0,40976.0,34559.0,40880.0,73765.0,53181.0,0
23517.0,40981.0,29079.0,12647.0,40980.0,34614.0,40772.0,73761.0,53231.0,0
23582.0,40982.0,29048.0,5015.0,24586.0,22055.0,40267.0,73768.0,53486.0,0
23610.0,40981.0,29034.0,4994.0,24589.0,22067.0,40432.0,73763.0,53399.0,0
23724.0,40977.0,28978.0,4988.0,24586.0,22068.0,40245.0,73761.0,53496.0,0
23675.0,40980.0,28997.0,4962.0,24583.0,22084.0,39789.0,73764.0,53724.0,0
23719.0,40978.0,28978.0,5005.0,24586.0,22061.0,39342.0,73763.0,53950.0,0
23616.0,40980.0,29031.0,4992.0,24585.0,22067.0,39381.0,73763.0,53929.0,0
23373.0,40982.0,29149.0,5032.0,24584.0,22048.0,41951.0,73757.0,52635.0,0
23453.0,40977.0,29113.0,4975.0,24586.0,22075.0,64998.0,73768.0,41055.0,0
23416.0,40983.0,29129.0,4980.0,24584.0,22074.0,16299.0,73756.0,65662.0,0
23172.0,40983.0,29254.0,4967.0,24588.0,22077.0,23668.0,40982.0,29068.0,0
22875.0,40978.0,29405.0,4864.0,24586.0,22130.0,24470.0,40981.0,28666.0,0
23036.0,40982.0,29323.0,4799.0,24588.0,22164.0,25219.0,40984.0,28287.0,0
23079.0,40980.0,29302.0,4798.0,24587.0,22166.0,25255.0,40982.0,28271.0,0
37095.0,40985.0,22225.0,4715.0,24586.0,22208.0,25672.0,40984.0,28060.0,0
1701.0,40981.0,40083.0,4600.0,24587.0,22263.0,25290.0,40979.0,28251.0,0
24040.0,40983.0,28815.0,4551.0,24586.0,22289.0,24672.0,40980.0,28564.0,0
24768.0,40984.0,28446.0,4422.0,24585.0,22351.0,24342.0,40979.0,28728.0,0
