,S1-value2,S1-value3,S1-value4,S2-value2,S2-value3,S2-value4,S3-value2,S3-value3,S3-value4,S0-value2,S0-value3,S0-value4,Y
0,18586.0,40985.0,31604.0,20039.0,40982.0,30840.0,2785.0,40979.0,39552.0,2451.0,17.0,39711.0,1
1,19028.0,40980.0,31409.0,20162.0,40980.0,30785.0,2707.0,40979.0,39589.0,2462.0,13.0,39704.0,1
2,19054.0,40980.0,31395.0,20158.0,40983.0,30785.0,2781.0,40980.0,39550.0,2458.0,12.0,39708.0,1
3,19034.0,40983.0,31404.0,20086.0,40982.0,30822.0,2851.0,40979.0,39518.0,2443.0,16.0,39719.0,1
4,18965.0,40981.0,31436.0,20017.0,40980.0,30856.0,2807.0,40980.0,39541.0,2446.0,17.0,39716.0,1
5,18961.0,40979.0,31444.0,20045.0,40982.0,30843.0,2753.0,40980.0,39567.0,2440.0,15.0,39717.0,1
6,18947.0,40979.0,31448.0,20038.0,40981.0,30845.0,2725.0,40978.0,39580.0,2424.0,15.0,39728.0,1
7,18950.0,40980.0,31447.0,20054.0,40979.0,30837.0,2693.0,40982.0,39595.0,2428.0,13.0,39721.0,1
8,18959.0,40978.0,31440.0,20075.0,40977.0,30829.0,2721.0,40978.0,39580.0,2426.0,15.0,39726.0,1
9,18908.0,40980.0,31468.0,19988.0,40979.0,30873.0,2773.0,40979.0,39556.0,2415.0,14.0,39737.0,1
10,18861.0,40979.0,31489.0,19931.0,40983.0,30899.0,2732.0,40978.0,39576.0,2427.0,13.0,39726.0,1
11,18884.0,40979.0,31479.0,19980.0,40980.0,30877.0,2684.0,40978.0,39603.0,2416.0,15.0,39727.0,1
12,18867.0,40979.0,31487.0,19977.0,40979.0,30880.0,2652.0,40979.0,39613.0,2405.0,14.0,39737.0,1
13,18865.0,40978.0,31486.0,19993.0,40981.0,30869.0,2614.0,40981.0,39640.0,2405.0,10.0,39733.0,1
14,18884.0,40980.0,31478.0,20016.0,40980.0,30855.0,2648.0,40981.0,39618.0,2407.0,16.0,39734.0,1
15,18865.0,40981.0,31487.0,19953.0,40983.0,30889.0,2719.0,40980.0,39584.0,2414.0,16.0,39729.0,1
16,18824.0,40979.0,31509.0,19870.0,40980.0,30933.0,2744.0,40974.0,39568.0,2400.0,10.0,39738.0,1
17,18725.0,40982.0,31559.0,19779.0,40979.0,30976.0,2674.0,40979.0,39606.0,2384.0,14.0,39747.0,1
18,18690.0,40982.0,31576.0,19756.0,40983.0,30987.0,2613.0,40979.0,39636.0,2381.0,15.0,39749.0,1
19,18719.0,40981.0,31563.0,19809.0,40979.0,30960.0,2592.0,40980.0,39646.0,2377.0,14.0,39747.0,1
20,18759.0,40977.0,31541.0,19873.0,40977.0,30930.0,2587.0,40981.0,39646.0,2391.0,11.0,39741.0,1
21,18756.0,40981.0,31543.0,19844.0,40982.0,30942.0,2614.0,40978.0,39636.0,2399.0,15.0,39738.0,1
